import	export
-0.497	-1.596
-0.685	-1.391
-0.491	-1.086
-0.405	-1.083
-0.62	-0.81
-0.779	-0.727
-0.458	-0.708
-0.775	-0.681
-0.047	-0.637
-0.769	-0.63
-0.048	-0.626
0.08	-0.615
0.08	-0.615
-0.016	-0.556
-0.081	-0.545
-0.324	-0.526
0.002	-0.484
0.059	-0.483
-0.054	-0.427
0.075	-0.383
0.096	-0.377
0.012	-0.277
0.265	-0.164
0.265	-0.164
0.029	-0.154
0.167	-0.146
1.18	-0.122
0.36	-0.111
-0.365	-0.098
-0.365	-0.098
1.063	-0.07
0.002	-0.003
0.032	0.008
0.504	0.012
-0.157	0.015
0.055	0.043
-0.007	0.048
0.014	0.074
-0.211	0.095
-0.209	0.095
0.254	0.111
0.291	0.117
0.07	0.12
0.603	0.135
0.168	0.164
0.113	0.168
0.113	0.168
0.13	0.17
0.609	0.175
0.5	0.18
0.183	0.225
0.211	0.234
0.34	0.25
0.35	0.25
0.52	0.31
0.41	0.32
0.264	0.36
0.463	0.367
0.293	0.368
0.336	0.382
0.647	0.457
1.014	0.464
0.52	0.474
0.424	0.512
0.424	0.514
0.418	0.526
0.51	0.533
0.682	0.598
0.452	0.776
0.452	0.776
1.703	0.78
0.572	0.802
0.602	0.803
0.749	0.805
0.823	0.809
0.465	0.81
0.617	0.816
0.154	0.821
0.564	0.827
0.696	0.895
0.731	0.895
0.441	0.902
0.448	1.053
1.552	1.092
0.65	1.233
0.368	1.243
0.368	1.243
0.646	1.277
0.646	1.277
1.467	1.467
1.26	1.481
1.028	1.596
1.282	1.628
0.621	1.754
0.621	1.754
1.244	1.835
1.648	2.603
1.25	3.004
